id;area;nomor;alamat;koordinat
570;61.71.02.1006;38;TANJUNG PULAU ( GEDUNG SERBA GUNA );-0.024970 , 109.348199
571;61.71.02.1006;39;TANJUNG PULAU ( MAJLIS AL BETINQY );-0.0258840 , 109.3474250
572;61.71.02.1006;40;PARKIRAN MAK ID RT. 02 / RW. 13;-0.024675 , 109.348672
573;61.71.02.1006;41;JL TANJUNG PULAU RT.03,04/RW.13 BETING;-0.024881 , 109.348275
574;61.71.02.1006;42;JL PARALEL 2 RT.01/RW.14;-0.034266 , 109.357034
575;61.71.02.1006;43;KAMPUS FARMASI YARSI JL P AIM;-0.035082 , 109.358788
576;61.71.02.1006;44;JL TJ RAYA 2 GG BERSATU RT.04/RW.14;-0.034520 , 109.357430
577;61.71.02.1006;45;GG PRASAJA RT.01/RW.15;-0.031752 , 109.355072
578;61.71.02.1006;46;RUMAH RT.02/RW.15 (WARUNG BUNGSU);-0.030086 , 109.356594
579;61.71.02.1006;47;KOMPLEK SEDERHANA RT.03/RW.15;-0.029592 , 109.360224
580;61.71.02.1006;48;JL PARALEL 1 RT.04/RW.15;-0.032936 , 109.357658
581;61.71.02.1006;49;SDN 02 GG. SAMPANG;-0.031193 , 109.356192
582;61.71.02.1006;50;JL. TJ RAYA 1 KOMP. SEDERHANA INDAH BLOK B NO.9;-0.031863 , 109.356315
583;61.71.02.1006;51;KAMPUS STIE JL PARALEL RT.08/RW.15;-0.031197 , 109.359564
584;61.71.02.1006;52;KOMP SERUNI INDAH RT.01,08/RW.16 JL P AIM;-0.029975 , 109.364864
585;61.71.02.1006;53;JL P AIM RMH GG AMAN BPK TIRAN RT.04/RW.16;-0.030166 , 109.365362
586;61.71.02.1006;54;KOMP. GERBANG PERMATA ASRI;-0.031526 , 109.360579
587;61.71.02.1006;55;KOMP. GERBANG PERMATA ASRI;-0.031526 , 109.360579
588;61.71.02.1006;56;RUMAH PAK RT H. ACHMAD;-0.030655 , 109.363805
589;61.71.02.1007;1;JL.PEMDA, GG.DHARMA PUTRA (RUMAH PAK RT HAMDANI);-0.03382 , 109.35306
590;61.71.02.1007;2;JL.TANJUNG RAYA 1 (SEKOLAH HARUNIYAH);-0.03596 , 109.35308
591;61.71.02.1007;3;JL.TANJUNG RAYA 1 (SEKOLAH HARUNIYAH);-0.03589 , 109.35298
592;61.71.02.1007;4;JL.TANJUNG RAYA 1 (SEKOLAH HARUNIYAH);-0.03589 , 109.35304
593;61.71.02.1007;5;JL.PANGLIMA A.RANI (SDN 12);-0.03277 , 109.35209
594;61.71.02.1007;6;JL.PANGLIMA A.RANI (SDN 12);-0.03267 , 109.35225
595;61.71.02.1007;7;JL.TANJUNG RAYA 1, GG.TANJUNG RAYA (RUMAH RT PAK EDI);-0.03161 , 109.35195
596;61.71.02.1007;8;JL.PANGLIMA A.RANI (SDN 12);-0.03286 , 109.35196
597;61.71.02.1007;9;JL.TANJUNG RAYA 1, GG.H.SAID (RUMAH PAK BUNHARJO);-0.03223 , 109.35375
598;61.71.02.1007;10;JL.GAYA BARU (RUMAH MAT HOLIL);-0.03141 , 109.35114
599;61.71.02.1007;11;JL.GAYA BARU (SMPN 04);-0.03125 , 109.35159
600;61.71.02.1007;12;JL.GAYA BARU, GG.ORDE BARU 2 (LAPANGAN KOSONG);-0.03176 , 109.35138
601;61.71.02.1007;13;JL.GAYA BARU, GG.ORDE BARU 3 (RUMAH RT PAK JUL);-0.03065 , 109.34998
602;61.71.02.1007;14;JL.GAYA BARU, GG.ORDE BARU 3 (RUMAH KETUE RT);-0.03079 , 109.34972
603;61.71.02.1007;15;JL.DWIKORA (RUMAH PAK RT);-0.02929 , 109.34861
604;61.71.02.1007;16;JL.GAYA BARU, GG.KAPUAS (PESANTREN LAHIRIAH);-0.02971 , 109.34945
605;61.71.02.1007;17;JL.SWADAYA, GG.19 (RUMAH M.SIDIK);-0.03633 , 109.35412
606;61.71.02.1007;18;JL.SWADAYA (RUMAH AGUS SETIAWAN);-0.03666 , 109.35362
607;61.71.02.1007;19;JL.TANJUNG RAYA 2, GG.YARSI (DELER MOTOR);-0.03579 , 109.35707
608;61.71.02.1007;20;JL.PARALEL TOL (RUMAH PAK RT);-0.03429 , 109.35573
609;61.71.02.1007;21;JL.ISMITA (SDN 11);-0.03439 , 109.35397
610;61.71.02.1007;22;JL.ISMITA (SDN 11);-0.03429 , 109.35414
611;61.71.02.1007;23;JL.TANJUNG RAYA 1, GG.SERUMPUN (RUMAH KETUA RT);-0.03485 , 109.35418
612;61.71.04.1001;1;JL GUSTI SITUT MAHMUD GANG SELAT BANGKA;-0.0201691.109.3496399,19z
613;61.71.04.1001;2;JL GUSTI SITUT MAHMUD GANG SELAT BANGKA;-0.0193805.1,093,494,253
614;61.71.04.1001;3;GANG SEMPURNA;-0.0194533.1093501522
615;61.71.04.1001;4;GG. SELAT MALAKA 1;-0.0203247.1,093,510,116
616;61.71.04.1001;5;GG. SELAT MALAKA;-0.0195329.1,093,511,119
617;61.71.04.1001;6;JL SELAT BALI;-0.0204323.109.3507842,20.
618;61.71.04.1001;7;JL. GUSTI SITUT MAHMUD GG AMILIN RT 004 003;-0.0187636.1,093,519,791.20
619;61.71.04.1001;8;JLN. GST MAHMUD GG REMIS 2 NO.31;-0.0165768.1,093,500,974
620;61.71.04.1001;9;GG. SELAT REMIS 2;-0.0176577.1,093,499,767
621;61.71.04.1001;10;JL. GUSTI SITUT MAHMUD GG. GENERASI;-0.0177221.1,093,510,603
622;61.71.04.1001;11;GANG SELAT GASPAR;-0.0176758.1,093,514,915
623;61.71.04.1001;12;GANG SELAT MALUKU 1;0.8410999.1,088,774,086
624;61.71.04.1001;13;JL. GUSTI SITUT MAHMUD GG. SELAT MALUKU;-0.0163853.1,093,524,243
625;61.71.04.1001;14;JL. GUSTI SITUT MAHMUD GG. SELAT MALUKU NO. C-03;0.0154169.1,093,525,442.28
626;61.71.04.1001;15;GG MALUKU 7;-0.0140302.1,093,530,404
627;61.71.04.1001;16;GG. SELAT MALUKU 8;0.0140302.109,353,040
628;61.71.04.1001;17;Jl. Gusti Situt Mahmud Gg Selat Blitar 1 No. 08 Siantan Hulu (Rumah Ketua RW. 006);0.0165708,109.3506082
629;61.71.04.1001;18;jln gusti situt mahmud Gg selat lombok 2,no 19 dpn rumah pak rt;0.016139, 109.354424
630;61.71.04.1001;19;Tps 19 jln paret pangeran gg delima 2 siantan hulu;0.0154578, 109.3515067
631;61.71.04.1001;20;JL PARIT PANGERAN GG DELIMA 3;0.0133612, 109.3551,155
632;61.71.04.1001;21;GANG SWADAYA;0.0178355. 1.093,534,912
633;61.71.04.1001;22;GG.SWADAYA I;0.0178355.1,093,534,912
634;61.71.04.1001;23;GG. SWADAYA II;0.0178355.1,093,534,912
635;61.71.04.1001;24;GG. SWADAYA 2;0.0185813.1,093,534,912
636;61.71.04.1001;25;JL. GUSTI SITUT MAHMUD NO. 351;0.0164354.1,093,554,197
637;61.71.04.1001;26;JL. PARIT PANGERAN NO.29;0.0151478.1,093,550,567
638;61.71.04.1001;27;JL. GUSTI SITUT MAHMUD GG. PARIT PANGERAN;0.0142394.1,093,550,378
639;61.71.04.1001;28;JL. PARIT PANGERAN;0.0133612.1,093,551,155
640;61.71.04.1001;29;JL. PARIT PANGERAN;0.012339.1,093,549,088
641;61.71.04.1001;30;JL. PARIT PANGERAN;-0.0119335.1,093,550,293
642;61.71.04.1001;31;JL. PARIT PANGERAN GG. KARYA BAKTI;-0.0105727.1,093,540,891
643;61.71.04.1001;32;JL. PARIT PANGERAN;0.012339. 1,093,549,088
644;61.71.04.1001;33;JL. PARIT PANGERAN;0,012261 1,093,549,088
645;61.71.04.1001;34;JL. PARIT PANGERAN GG. SELAMAT I;0.0095527.1,093,571,761
646;61.71.04.1001;35;JL. PARIT PANGERAN;0.0071122.1,093,558,117
647;61.71.04.1001;36;JL. PARIT PANGERAN;0.0067577.1,093,562,649
648;61.71.04.1001;37;KOMPLEK BTN PANGERAN PERMAI II;0.0059263.1,093,560,181
649;61.71.04.1001;38;JL. PARIT PANGERAN GG. IDT;-0.0078249.1,093,554,585
650;61.71.04.1001;39;JL. GUSTI SITUT MAHMUD GG. SELAT GASFAR;0.0056055.1,093,558,812
651;61.71.04.1001;40;JL. PARIT PANGERAN GG. SOLIDAR;0.0049989,109.35646
652;61.71.04.1001;41;JL. PARIT PANGERAN GG. SURYA;0.004075.,109.3567358
653;61.71.04.1001;42;JL. PARIT PANGERAN GG MAWAR;0.0046136.1,093,639,046
654;61.71.04.1001;43;JL. PARIT PANGERAN KOMPLEK PONDOK PANGERAN III;0.0021778.1,093,560,389
655;61.71.04.1001;44;JL. PARIT PANGERAN GANG MANDIRI;0.0015381.1,093,557,828.00
656;61.71.04.1001;45;JL. PARIT PANGERAN KOMPLEK PONDOK PANGERAN IV;0.0026724.1,093,567,403
657;61.71.04.1001;46;KOMP. PANGERAN PATI I BLOK C4;-0.0032338.1,093,577,531
658;61.71.04.1001;47;PANGERAN PERMAI F 12.A;0.0037368.1,093,592,857
659;61.71.04.1001;48;PANGERAN PERMAI F 12.A;0.0005876.1,093,566,305
660;61.71.04.1001;49;JL. PARIT PANGERAN GG.HASANUDIN;0.0010826.1,093,563,678
661;61.71.04.1001;50;KOMP. PANGERAN PATI I BLOK C4;0.0052408.1,093,550,947
662;61.71.04.1001;51;Komplek Pondok Pangeran Indah 1 dan 2, Jl. Budi Utomo RT. 2 RW 27 Blok A. No. 12 Siantan Hulu Pontianak Utara;0.005292, 109.355227
663;61.71.04.1001;52;Komplek Pondok Pangeran Indah 1 dan 2, Jl. Budi Utomo RT. 3 RW 27 Blok H No. 14 Siantan Hulu Pontianak Utara.;0.005800, 109.355189
664;61.71.04.1001;53;Komplek Pondok Pangeran Indah 1 dan 2, Jl. Budi Utomo RT. 4 RW 27 Blok J No. 2 Siantan Hulu Pontianak Utara.;0.006084, 109.355406
665;61.71.04.1001;54;JL. PARIT PANGERAN DALAM HALAMAN PEK KONH;0.0025407,109.3563605
666;61.71.04.1001;55;JL. PARIT PANGERAN DALAM YAYASAN PERI BUDI;0.0084749,109.3561569
667;61.71.04.1001;56;JL. PARIT PANGERAN DALAM;0.0025407,109.3543501
668;61.71.04.1001;57;jln.kebangkitan Nasional RT.02 RW .028 gg.Karya Pratama ( Aula Klenteng );0.017722,109.3529743,
669;61.71.04.1001;58;JL. PADAT KARYA;0.0209715,109.3582664
670;61.71.04.1001;59;JL. KEBANGKITAN NASIONAL;0.023101, 109.345348
671;61.71.04.1001;60;JL. KEBANGKITAN NASIONAL;0.0169524.1,093,681,111
672;61.71.04.1001;61;JL KEBANGKITAN NASIONAL;0.0169037.1,093,647,297
673;61.71.04.1001;62;PARIT BENTASAN 2;0.0160036.1,093,691,436
674;61.71.04.1001;63;JL. KEBANGKITAN NASIONAL;0.0178744.1,093,686,371
675;61.71.04.1001;64;GG. BENTASAN I;0.0078061.1,093,616,459
676;61.71.04.1001;65;JL. 28 OKTOBER KOMPLEK PEMDA;0.0080107.1,093,618,633.00
677;61.71.04.1001;66;JL. 28 OKTOBER KOMPLEK PEMDA;0.0078061.1,093,616,459
678;61.71.04.1001;67;JL. 28 OKTOBER KOMPLEK PEMDA;0.0078061.1,093,616,459
679;61.71.04.1001;68;KOMPLEK PEMDA;0.0090283.1,093,614,877
680;61.71.04.1001;69;KOMPLEK PEMDA;0.0030833.1,093,613,891
681;61.71.04.1001;70;GANG TERPADU;0.0049829.1,093,615,439
682;61.71.04.1001;71;GANG PENDIDIKAN;0.0049829.1,093,615,439.00
683;61.71.04.1001;72;GANG BERSATU;0.0041541.1,093,610,296
684;61.71.04.1001;73;GANG PENDIDIKAN;0.0031375.1,093,606,465
685;61.71.04.1001;74;JL. BUDI UTOMO GANG PENDIDIKAN;0.0040886.1,093,637,607
686;61.71.04.1001;75;JL. PARIT NANAS gang babussalam rt 01 rw36;0.0002702.1,093,674,526
687;61.71.04.1001;76;Jl. LAPAN Komplek Grand Zaujati No. 39 dihalaman Rumah Bapak Dino Pratikno Siantan Hulu Pontianak Utara.;0.0042902,109.3652366
688;61.71.04.1001;77;JL. PARIT NANAS DALAM halaman sd 09 pontianak utara;0.0005687,109.3670202
689;61.71.04.1001;78;JL. PARIT NANAS DALAM halaman sd 09 pontianak utara;0.0005687,109.3670202
690;61.71.04.1001;79;Jl.Parit Nanas/Hidayah Gg.Mochtar (Samping Perumahan Permata.  Di.Halaman Rumah Ketua RT.004/RW.036 No.4 Bapak.Zulkarnaen;0.006012, 109.367586
691;61.71.04.1001;80;Jl. Parit nenas Gg. AkmaL dihalaman Rumah Bapak ketua RT 005 RW 036 nomor 1;0.0072329,109.368431
692;61.71.04.1001;81;JL. 28 OKTOBER KOMP. GOLF PERMAI BLOK C NO 1 HALAMAN RUMAH BAPAK SUHARNO;0.0019226,109.3692141
693;61.71.04.1001;82;JL. Komplek Golf Permai RT.02 RW.26. Jalur. 1 Blok. B Halaman Rumah Nomor. 2 dan;-0.000762, 109.370123
694;61.71.04.1001;83;JL. 28 OKTOBER KOMPLEK DWI RATNA INDAH;0.0019226,109.3592121
695;61.71.04.1001;84;KOMPLEK DWI RATNA INDAH II;0.0036176, 109.3694686
696;61.71.04.1001;85;JL. DWI RATNA JALUR 3 BLOK C 12;0.0031485, 109.3710938
697;61.71.04.1001;86;JL. 28 OKTOBER KOMP. TIARA PESONA JALUR 2 HALAMAN RUMAH BP ANDRI HASIN C14;0.0021343, 109.3718993
698;61.71.04.1001;87;JL. GUSTI SITUT MAHMUD GANG TIDAR II;0.0146916, 109.3211568
699;61.71.04.1001;88;JL. 28 OKTOBER KOMPLEK ARIFZ;0.0064024, 109.3665712
700;61.71.04.1001;89;JL. POLTEKKES KOMPLEK MARISA 4 DIDEPAN RUKO;0.0057944, 109.3706173
701;61.71.04.1001;90;JL 28 OKTOBER;0.01061.1,093,646,593
702;61.71.04.1001;91;JL. 28 OKOBER PARIT NANAS;0.01061.1,093,646,593
703;61.71.04.1001;92;JL. 28 OKTOBER GANG KARAKTERDES;0.01061.1,093,646,593
704;61.71.04.1001;93;JL 28 OKTOBER GG KARAKTERDES;0.0064024.1,093,657,805
705;61.71.04.1001;94;JL 28 OKTOBER GG KARAKTERDES;-0.0063349.1,093,673,035
706;61.71.04.1001;95;JL. 28 OKTOBER KOMP. 12;0.002158.109,363,068
707;61.71.04.1001;96;JL. 28 OKTOBER GG. TRISAKTI;0.0029823.109,363,392
708;61.71.04.1001;97;JL 28 OKTOBER GANG MARGA UTAMA;0.0041408.1,093,620,804
709;61.71.04.1001;98;JL 28 OKTOBER KOMPLEK TRI PERMAI;0.0074612.1,093,604,788
710;61.71.04.1001;99;JL. 28 OKTOBER KOMPLEK SIANTAN PERMAI;0.0084942.1,093,601,766
711;61.71.04.1001;100;JL 28 OKTOBER;0.0086746.1,093,602,938
712;61.71.04.1001;101;JL. PARIT PANGERAN GG.KURNIA;0.012444.1,093,616,715
713;61.71.04.1001;102;JL. PARIT PANGERAN GANG KURNIA;0.012444.1,093,616,715
714;61.71.04.1001;103;JL. 28 OKTOBER GANG BIMA SAKTI 1;0.0115636.109,362,016
715;61.71.04.1001;104;JL. 28 OKTOBER GG. BIMA SAKTI 1;0.0115636.109,362,016
716;61.71.04.1001;105;GANG BIMA SAKTI 2;0.0105174.109,361,996
717;61.71.04.1001;106;JL. 28 OKTOBER GG. BIMA SAKTI III;-0.0065007.1,093,607,777
718;61.71.04.1001;107;JL. 28 OKTOBER GG. SIDO MUKTI SAMPING LANGGAR AL HAMRO RUMAH BP SAMUJI;0.0088627,109.3614996
719;61.71.04.1001;108;JL 28 OKTOBER GANG ANYAR;0.0088627,109.3624797
720;61.71.04.1001;109;JL. GUSTI SITUT MAHMUD GG. SWASEMBADA II HALAMAN SDN 41;0.01315,109.359714
721;61.71.04.1001;110;JL. GUSTI SITUT MAHMUD DISEBELAH SURAU BABUL ULUM;0.0153649,109.3610658
722;61.71.04.1001;111;JL. GUSTI SITUT MAHMUD GG. SWEMBADA 3 JALUR 1 HALAMAN RUMAH PAK PARJIMIN;0.0146916,109.3611568,20
723;61.71.04.1001;112;GANG SWASEMBADA 4 HALAMAN RUMAH IBU BETI;0.0145868,109.3619854
724;61.71.04.1001;113;JL. GUSTI SITUT MAHMUD GG. RACHMAD;0.0148871.1,093,597,668
725;61.71.04.1001;114;GG. SWASEMBADA I;0.0148871.109,359,766
726;61.71.04.1001;115;JL. GUSTI SITUT MAHMUD GG. SWASEMBADA I;0.0166501.1,093,564,349
727;61.71.04.1001;116;JL. GUSTI SITUT MAHMUD GG. ALI 88;0.0172857.1,093,570,894
728;61.71.04.1001;117;GANG TIDAR;0.0172108.1,093,581,287
729;61.71.04.1001;118;JL. GST. MAHMUD GG. SELAT SUNDA;0.0164437.1,093,601,887
730;61.71.04.1001;119;JL. GUSTI SITUT MAHMUD GG. SABANG;-0.0165639.1,093,601,999
731;61.71.04.1001;120;JL. GUSTI SITUT MAHMUD;0.0161675.1,093,620,957
732;61.71.04.1001;121;JL. GUSTI SITUT MAHMUD GG. SADARAYA;0.0159422.1,093,641,503
733;61.71.04.1001;122;JL. GUSTI SITUT MAHMUD GG. SWAKARYA;0.0158054.1,093,649,067
734;61.71.04.1001;123;JL. SELAT PANJANG GG TAKARI NO. 25;0.0173396.1,093,651,722
735;61.71.04.1001;124;JL. SELAT PANJANG;0.0160843.1,093,653,546
736;61.71.04.1001;125;JL. SELAT PANJANG PERUM LANDAK PERMAI;0.0145045.1,093,644,748
737;61.71.04.1001;126;JL. SELAT PANJANG;0.014196.1,093,645,741
738;61.71.04.1001;127;JL. SELAT PANJANG GG. WARTAWAN;0.0139788.1,093,649,067
739;61.71.04.1001;128;JL. SELAT PANJANG GG. WARTAWAN;0.0139225.1,093,666,099
740;61.71.04.1001;129;JL. SELAT PANJANG GG. KELUARGA;0.0127825.1,093,659,983
741;61.71.04.1001;130;JL. SELAT PANJANG GG.AMBO AKAK;0.0127825.1,093,659,983
742;61.71.04.1001;131;JL. SELAT PANJANG GG. IMAN;0.0152109.1,093,673,381
743;61.71.04.1001;132;JL. SELAT PANJANG GG. WARTAWAN;0.0172364.109,367,504
744;61.71.04.1001;133;JL. SELAT PANJANG GG. AMAL;0.0161965.1,093,705,406
745;61.71.04.1001;134;JL. SELAT PANJANG GG. AMAL;0.0162858.1,093,730,509
746;61.71.04.1001;135;JL. SELAT PANJANG GANG ZAMRUD PAUD SELAYAR;0.0139623.1,093,786,404
747;61.71.04.1001;136;JL. SELAT PANJANG KEDIAMAN RUMAH BP YA' MURSID;0.0157944,109.3710941
748;61.71.04.1001;137;JL. SELAT PANJANG GG. MALAYA SDN 35;0.0158677,109.37362,
749;61.71.04.1001;138;JL. SELAT PANJANG;0.0149447.1,093,683,823
750;61.71.04.1001;139;JL. SELAT PANJANG GG. KARYA KELUARGA;0.0153562.1,093,697,168
751;61.71.04.1001;140;JL. SELAT PANJANG;0.0144984.1,093,718,222
752;61.71.04.1001;141;JL. SELAT PANJANG;0.0135554,.1,093,721,047
753;61.71.04.1001;142;GG. KARYA BAKTI 2;0.0141975.1,093,744,034
754;61.71.04.1001;143;JL SELAT PANJANG;0.0141975.1,093,744,034
755;61.71.04.1001;144;JL SELAT PANJANG GANG SEPAKAT;0.0074544.1,093,735,933
756;61.71.04.1001;145;JL. SELAT PANJANG GANG RAHIM;0.0074544.1,093,735,933
757;61.71.04.1001;146;JL. SELAT PANJANG 2;0.008431, 109.373669
758;61.71.04.1001;147;JL. SELAT PANJANG 2 KOMPLEK PERMATA GOLF RESIDENCE F 16;0.007435, 109.373537
759;61.71.04.1001;148;JL. GUSTI SITUT MAHMUD GG. MARAOKE;0.016654, 109.357940
760;61.71.04.1001;149;JL. 28 OKTOBER KOMPLEK GRIYA KENCANA;0.0021947, 109.361602
761;61.71.04.1002;1;JL. PURING 1 BLOK AA-1;"0� 1'8.08""S, 109�20'30.38""T"
762;61.71.04.1002;2;JL. KHATULISTIWA GG. PURING NO. 2;"0� 1'5.84""S, 109�20'31.83""T"
763;61.71.04.1002;3;JLN. KHATULISTIWA;"0� 1'2.31""S, 109�20'31.31""T"
764;61.71.04.1002;4;JL. PARWASAL;"0� 1'2.02""S, 109�20'33.26""T"
765;61.71.04.1002;5;GANG DARMA BAKTI I;"0� 1'0.49""S, 109�20'34.01""T"
766;61.71.04.1002;6;JL. PARWASAL;"0� 0'59.50""S, 109�20'35.30""T"
767;61.71.04.1002;7;JL. KHATULISTIWA GG. DHARMA BAKTI 1;"0� 0'58.32""S, 109�20'29.53""T"
768;61.71.04.1002;8;GG. DHARMA BHAKTI II;"0� 0'53.74""S, 109�20'33.25""T"
769;61.71.04.1002;9;GG. DHARMA BAKTI II;-0.0150045, 1093430869
770;61.71.04.1002;10;JL. KHATULISTIWA GG. DHARMA BAKTI;"0� 0'51.70""S, 109�20'31.72""T"
771;61.71.04.1002;11;JL. MAKMUR INDAH BLOK E NO. 3;"0� 0'52.73""S, 109�20'25.37""T"
772;61.71.04.1002;12;JL. PARIT MAKMUR GG. TERATAI III NO. 19;"0� 0'52.13""S, 109�20'27.36""T"
773;61.71.04.1002;13;JL. PARIT MAKMUR GG. NUSANTARA;"0� 0'49.64""S, 109�20'29.41""T"
774;61.71.04.1002;14;JL. PARIT MAKMUR GG. DARMA KARYA;"0� 0'42.49""S, 109�20'33.48""T"
775;61.71.04.1002;15;GANG DARMA KARYA;"0� 0'46.26""S, 109�20'34.64""T"
776;61.71.04.1002;16;JL. PARWASAL GG. PARWASAL 3;"0� 0'59.88""S, 109�20'36.38""T"
777;61.71.04.1002;17;GG. SELAT MADURA;"0� 0'54.78""S, 109�20'37.12""T"
778;61.71.04.1002;18;GG. PARWASAL 6;"0� 0'51.70""S, 109�20'37.97""T"
779;61.71.04.1002;19;JL. PARIT WANSALIM;"0� 0'49.97""S, 109�20'37.61""T"
780;61.71.04.1002;20;JL. PARWASAL GG. BAROKAH 2;"0� 0'47.36""S, 109�20'39.43""T"
781;61.71.04.1002;21;JL. PARWASAL GG. HIDAYAH;"0� 0'48.54""S, 109�20'41.92""T"
782;61.71.04.1002;22;JL. PARWASAL GG. PERSADA III;"0� 0'45.12""S, 109�20'40.16""T"
783;61.71.04.1002;23;JLN. PARWASAL GG.PARWASAL 8;"0� 0'40.45""S, 109�20'36.86""T"
784;61.71.04.1002;24;JL. PARWASAL GG. PERSADA 2;"0� 0'41.38""S, 109�20'38.61""T"
785;61.71.04.1002;25;JL. PARIT WANSALIM;"0� 0'21.92""S, 109�20'41.14""T"
786;61.71.04.1002;26;JL.PARWASAL GG.TRIJAYA 2;"0� 0'24.89""S, 109�20'46.20""T"
787;61.71.04.1002;27;JLN. PARWASAL GG. TEKAD BERSAMA;"0� 0'18.04""S, 109�20'53.67""T"
788;61.71.04.1002;28;GG. MAKMUR BERSAMA;"0� 0'12.54""S, 109�20'51.38""T"
789;61.71.04.1002;29;JL. PARWASAL KOMP. GARDEN MAS 3 BLOK AA-7;"0� 0'14.41""S, 109�20'48.56""T"
790;61.71.04.1002;30;JL. PARWASAL GG. CEMPAKA 2 KOMP. GARDEN MAS 3 NO. HH 6;"0� 0'3.19""S, 109�20'56.37""T"
791;61.71.04.1002;31;PARWASAL KOMP. ALOE VERA PERMAI 2 NO. 20. A;"0� 0'2.31""U, 109�20'59.82""T"
792;61.71.04.1002;32;JL. PARWASAL NO. 36;"0� 0'8.65""U, 109�21'5.93""T"
793;61.71.04.1002;33;JL. PARWASAL DALAM GG. USAHA MAJU;"0� 0'4.48""U, 109�21'0.55""T"
794;61.71.04.1002;34;JL PARWASAL KOMP AMY PERMAI 3 A.18;"0� 0'1.16""S, 109�21'7.62""T"
795;61.71.04.1002;35;JL.BUDI UTOMO KOMP.GARDEN MAS V NO B 7;"0� 0'11.84""U, 109�21'8.10""T"
796;61.71.04.1002;36;JL. PARWASAL DALAM GG. INTAN PERMAI;"0� 0'15.66""U, 109�21'9.67""T"
797;61.71.04.1002;37;JL. BUDI UTOMO PARWASAL DALAM GG. SUKA MULIA 2;"0� 0'17.45""U, 109�21'10.34""T"
798;61.71.04.1002;38;JL. PARWASAL GG. USAHA MAJU;"0� 0'18.17""U, 109�21'12.47""T"
799;61.71.04.1002;39;JL.KH.MOCH.KHOTIB PARWASAL DALAM;"0� 0'20.30""U, 109�21'12.94""T"
800;61.71.04.1002;40;JL. PARWASAL DALAM GG. AMALILLAH;"0� 0'33.92""S, 109�20'46.18""T"
801;61.71.04.1002;41;GG. SELAT MADURA DALAM;"0� 0'38.73""S, 109�20'49.68""T"
802;61.71.04.1002;42;JL. PARWASAL GG. AMANAH;"0� 0'39.43""S, 109�20'46.36""T"
803;61.71.04.1002;43;JL. SELAT MADURA;"0� 0'41.40""S, 109�20'47.07""T"
804;61.71.04.1002;44;JL.GUSTI SITUT MAHMUD GG.SELAT MADURA;"0� 0'44.41""S, 109�20'46.80""T"
805;61.71.04.1002;45;GG. SELAT MADURA;"0� 0'48.84""S, 109�20'45.18""T"
806;61.71.04.1002;46;JL. GUSTI SITUT MACHMUD GG. SELAT MADURA;"0� 0'53.00""S, 109�20'42.52""T"
807;61.71.04.1002;47;JL. SELAT BALI GG. BERSATU III;"0� 1'8.54""S, 109�20'37.69""T"
808;61.71.04.1002;48;GG. BERSATU;"0� 1'11.93""S, 109�20'46.25""T"
809;61.71.04.1002;49;JL. GUSTI SITUT MAHMUD GG. SELAT KARIMATA II NO. D-4;"0� 1'9.39""S, 109�20'42.45""T"
810;61.71.04.1002;50;JL. GUSTI SITUT MAHMUD GG. SELAT MAKASAR;"0� 1'3.48""S, 109�20'45.67""T"
811;61.71.04.1002;51;GG. SELAT MAKASAR;"0� 1'0.10""S, 109�20'46.66""T"
812;61.71.04.1002;52;GG. SELAT SUMBA X;"0� 1'1.33""S, 109�20'48.19""T"
813;61.71.04.1002;53;GANG.SELAT SUMBA;"0� 1'3.66""S, 109�20'48.60""T"
814;61.71.04.1002;54;GG. SELAT SUMBA;"0� 1'4.33""S, 109�20'40.62""T"
815;61.71.04.1002;55;JL, SELAT SUMBA;"0� 1'1.10""S, 109�20'41.04""T"
816;61.71.04.1002;56;GG. SELAT SUMBA;"0� 0'57.23""S, 109�20'42.97""T"
817;61.71.04.1002;57;JLN. GUSTI SITUT MAHMUD GG. SELAT SUMBA;"0� 0'56.80""S, 109�20'45.65""T"
818;61.71.04.1002;58;JL. SELAT SUMBA GG. MANTUKA;"0� 0'54.41""S, 109�20'46.67""T"
819;61.71.04.1002;59;GG. MANTUKA;"0� 0'50.63""S, 109�20'48.40""T"
820;61.71.04.1002;60;GG. MASA JAYA;"0� 0'52.57""S, 109�20'49.07""T"
821;61.71.04.1002;61;GG. MASA JAYA III;"0� 0'47.45""S, 109�20'49.69""T"
822;61.71.04.1002;62;GG. MASA JAYA;"0� 0'46.04""S, 109�20'51.39""T"
823;61.71.04.1002;63;GG. HARAPAN II;"0� 0'49.35""S, 109�20'50.22""T"
824;61.71.04.1002;64;GG. HARAPAN 3;"0� 0'47.80""S, 109�20'52.20""T"
825;61.71.04.1002;65;GG. HARAPAN III;"0� 0'56.02""S, 109�20'48.69""T"
826;61.71.04.1002;66;GG. SELAT SUMBA III;"0� 0'58.61""S, 109�20'47.66""T"
827;61.71.04.1002;67;GG. SELAT SUMBA 2;"0� 0'55.37""S, 109�20'50.02""T"
828;61.71.04.1002;68;GG. SELAT KARIMATA I;"0� 0'53.68""S, 109�20'51.27""T"
829;61.71.04.1002;69;GG. SELAT KARIMATA I;"0� 0'57.47""S, 109�20'49.74""T"
830;61.71.04.1002;70;GG. SELAT KARIMATA III;"0� 0'55.46""S, 109�20'51.86""T"
831;61.71.04.1002;71;GG. GOTONG ROYONG;"0� 1'7.13""S, 109�20'47.01""T"
